테마분류,코스 아이디,관광지 아이디,지역 아이디,관광지명,경도(도),위도(도),코스순서,이동시간,실내구분,테마명
TH05,83,8302,4277037001,(정선)아우라지,128.721649,37.476524,2,1,실외,종교/역사/전통
TH03,83,8303,4277025901,(정선)타임캡슐공원,128.68762,37.200917,3,3,실외,자연/힐링
TH05,83,8304,4277025902,(정선)아리랑학교 ,128.703553,37.233367,4,6,실내,종교/역사/전통
TH05,83,8305,4277025000,(정선)아라리촌,128.671246,37.374958,5,7,실외,종교/역사/전통
TH03,83,8306,4277025001,(정선)병방치스카이워크,128.635398,37.362146,6,9,실외,자연/힐링
TH03,83,8307,4277036001,(정선)화암동굴,128.789251,37.351321,7,10,실내,자연/힐링
TH05,84,8401,4415054001,(공주)무령왕릉,127.11286,36.461228,1,0,실외,종교/역사/전통
TH03,84,8402,4415057000,(공주)공산성,127.123708,36.464977,2,1,실외,자연/힐링
TH03,84,8403,4415057000,(공주)금강신관공원,127.131614,36.467927,3,2,실외,자연/힐링
TH02,84,8404,4415037001,(공주)밤토랑 마을,127.046024,36.644957,4,3,실외,체험/학습/산업
TH05,84,8405,4476025000,(부여)부소산성,126.914872,36.284745,5,5,실외,종교/역사/전통
TH05,84,8406,4476025000,(부여)낙화암/고란사,126.914267,36.291003,6,7,실외,종교/역사/전통
TH05,84,8407,4476025000,(부여)궁남지,126.912275,36.269656,7,9,실외,종교/역사/전통
TH05,84,8408,4476025000,(부여)백제문화단지,126.906705,36.306603,8,11,실외,종교/역사/전통
TH05,85,8501,4471036003,(금산)보석사 ,127.475834,36.054405,1,0,실외,종교/역사/전통
TH02,85,8502,4471025000,(금산)금산인삼관,127.488071,36.108693,2,2,실외,체험/학습/산업
TH06,85,8503,4471025000,(금산)인삼약초시장,127.495208,36.103046,3,5,실외,쇼핑/놀이
TH02,85,8504,4471032001,(금산)금강생태과학체험장,127.568703,36.105056,4,7,실외,체험/학습/산업
TH05,85,8505,4471031000,(금산)칠백의총,127.491788,36.129956,5,10,실외,종교/역사/전통
TH05,86,8601,4420038002,(아산)공세리성당,126.915009,36.887958,1,0,실내,종교/역사/전통
TH05,86,8602,4427037000,(당진)솔뫼성지,126.785265,36.819377,2,2,실외,종교/역사/전통
TH03,86,8603,4421038001,(서산)아라메길(2구간),126.604133,36.774009,3,4,실외,자연/힐링
TH05,86,8604,4421037002,(서산)정순왕후생가,126.519013,36.740821,4,6,실외,종교/역사/전통
TH05,86,8605,4421039000,(서산)해미읍성 ,126.54917,36.71312,5,8,실외,종교/역사/전통
TH05,86,8606,4421039001,(서산)해미순교성지,126.538225,36.712542,6,10,실외,종교/역사/전통
TH04,87,8701,4479032001,(청양)칠갑산오토캠핑장 ,126.863708,36.395056,1,0,실외,캠핑/스포츠
TH02,87,8702,4479033001,(청양)칠갑산천문대,126.889815,36.433615,2,1,실내,체험/학습/산업
TH03,87,8703,4479032000,(청양)장승공원,126.849823,36.409283,3,2,실외,자연/힐링
TH05,87,8704,4479032000,(청양)장곡사 ,126.852807,36.410329,4,3,실외,종교/역사/전통
TH03,87,8705,4479025001,(청양)고운식물원,126.761549,36.435835,5,3,실외,자연/힐링
TH02,87,8706,4477041002,(서천)홍원항,126.500109,36.157837,6,5,실외,체험/학습/산업
TH03,87,8707,4477041002,(서천)동백정(동백나무숲),126.493305,36.137533,7,7,실외,자연/힐링
TH03,87,8708,4477025000,(서천)송림산림욕장,126.66634,36.015283,8,8,실외,자연/힐링
TH02,87,8709,4477031002,(서천)조류생태전시관,126.736996,36.026861,9,9,실내,체험/학습/산업
TH02,87,8710,4477031002,(서천)국립생태원,126.719697,36.025863,10,10,실외,체험/학습/산업
TH02,87,8711,4477025000,(서천)국립해양생물자원관,126.670026,36.016341,11,11,실내,체험/학습/산업
TH03,88,8801,4420039001,(아산)세계 꽃 식물원,126.860615,36.749688,1,0,실외,자연/힐링
TH04,88,8802,4420025000,(아산)레일바이크/코미디홀,126.867247,36.761254,2,2,실외,캠핑/스포츠
TH02,88,8803,4420039001,(아산)옹기 및 발효음식 전시체험관,126.880707,36.754488,3,5,실외,체험/학습/산업
TH03,88,8804,4420039001,(아산)도고온천 ,126.887334,36.76402,4,6,실내,자연/힐링
TH05,88,8805,4420031001,(아산)봉곡사,126.966478,36.698741,5,8,실외,종교/역사/전통
TH02,88,8806,4420025300,(아산)외암민속마을,127.013656,36.731193,6,9,실외,체험/학습/산업
TH05,88,8807,4420025300,(아산)맹사성고택,127.042057,36.746945,7,10,실외,종교/역사/전통
TH02,88,8808,4420025000,(아산)환경과학공원,126.978213,36.797962,8,11,실외,체험/학습/산업
TH02,88,8809,4420025001,(아산)온양민속박물관 ,127.006155,36.791935,9,12,실외,체험/학습/산업
TH05,88,8810,4420025001,(아산)현충사,127.032069,36.806545,10,14,실외,종교/역사/전통
TH03,88,8811,4420025000,(아산)온양온천,126.999944,36.783122,11,15,실내,자연/힐링
TH05,89,8901,4421038001,(서산)용현리 마애여래삼존상,126.604745,36.773292,1,0,실외,종교/역사/전통
TH05,89,8902,4421038001,(서산)개심사,126.590391,36.746848,2,1,실외,종교/역사/전통
TH05,89,8903,4421039000,(서산)해미읍성,126.54917,36.71312,3,4,실외,종교/역사/전통
TH05,89,8904,4421032001,(서산)간월암,126.412357,36.605106,4,5,실외,종교/역사/전통
TH02,89,8905,4421032001,(서산)버드랜드,126.377492,36.638682,5,7,실외,체험/학습/산업
TH02,89,8906,4421037001,(서산)나비아이,126.487828,36.81943,6,8,실외,체험/학습/산업
TH02,90,9001,4471025000,(금산)금산인삼축제,127.50063,36.100015,1,0,실외,체험/학습/산업
TH06,90,9002,4471025000,(금산)인삼약초시장,127.495208,36.103046,2,1,실외,쇼핑/놀이
TH03,90,9003,4471036003,(금산)개삼터공원,127.478552,36.074626,3,3,실외,자연/힐링
TH05,90,9004,4471036003,(금산)보석사,127.475834,36.054405,4,5,실외,종교/역사/전통
TH03,90,9005,4471036002,(금산)십이폭포,127.460326,36.004639,5,6,실외,자연/힐링
TH03,90,9006,4471036001,(금산)산림문화타운 생태숲,127.368943,36.066539,6,8,실외,자연/힐링
TH02,90,9007,4471032001,(금산)어죽마을,127.578303,36.111902,7,9,실외,체험/학습/산업
TH03,90,9008,4471032001,(금산)금강생태과학체험장 금강솔바람길,127.568651,36.105454,8,12,실외,자연/힐링
TH05,90,9009,4471031001,(금산)지구촌민속박물관,127.492009,36.114127,9,13,실외,종교/역사/전통
TH05,90,9010,4471031000,(금산)칠백의총,127.493088,36.130389,10,15,실외,종교/역사/전통
TH02,91,9101,4477041002,(서천)홍원항,126.500109,36.157837,1,0,실외,체험/학습/산업
TH03,91,9102,4477041002,(서천)동백정,126.493305,36.137533,2,2,실외,자연/힐링
TH03,91,9103,4477025000,(서천)송림산림욕장,126.66634,36.015283,3,5,실외,자연/힐링
